Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
360,IRFC,INE053F01010,Indian Railway Finance Corporation Limited,401221966,N.A,
361,ITC,INE154A01025,ITC Limited,2505272833,N.A,
362,ITCHOTELS,INE379A01028,ITC Hotels Limited,250595262,N.A,
363,ITI,INE248A01017,ITI Limited,19217738,N.A,
364,IXIGO,INE0HV901016,Le Travenues Technology Limited,87636705,N.A,
365,J&KBANK,INE168A01041,The Jammu & Kashmir Bank Limited,89416837,N.A,
366,JAINREC,INE0YD401026,Jain Resource Recycling Limited,18228663,N.A,
367,JAMNAAUTO,INE039C01032,Jamna Auto Industries Limited,40110240,N.A,
368,JAYNECOIND,INE854B01010,Jayaswal Neco Industries Limited,87095776,N.A,
369,JBMA,INE927D01051,JBM Auto Limited,15357196,N.A,
370,JINDALSAW,INE324A01032,Jindal Saw Limited,46632069,N.A,
371,JINDALSTEL,INE749A01030,JINDAL STEEL LIMITED,75590247,N.A,
372,JINDRILL,INE742C01031,Jindal Drilling And Industries Limited,1925629,N.A,
373,JIOFIN,INE758E01017,Jio Financial Services Limited,671850851,N.A,
374,JKCEMENT,INE823G01014,JK Cement Limited,8398033,N.A,
375,JKLAKSHMI,INE786A01032,JK Lakshmi Cement Limited,13625797,N.A,
376,JKPAPER,INE789E01012,JK Paper Limited,17064428,N.A,
377,JKTYRE,INE573A01042,JK Tyre & Industries Limited,27834995,N.A,
378,JMFINANCIL,INE780C01023,JM Financial Limited,82122274,N.A,
379,JPPOWER,INE351F01018,Jaiprakash Power Ventures Limited,1041725742,N.A,
380,JSFB,INE953L01027,Jana Small Finance Bank Limited,17498494,N.A,
381,JSL,INE220G01021,Jindal Stainless Limited,62516698,N.A,
382,JSWCEMENT,INE718I01012,JSW Cement Limited,71841632,N.A,
383,JSWDULUX,INE133A01011,JSW Dulux Limited,3533718,N.A,
384,JSWENERGY,INE121E01018,JSW Energy Limited,122512428,N.A,
385,JSWINFRA,INE880J01026,JSW Infrastructure Limited,120153106,N.A,
386,JSWSTEEL,INE019A01038,JSW Steel Limited,266524644,N.A,
387,JUBLFOOD,INE797F01020,Jubilant Foodworks Limited,78384414,N.A,
388,JUBLINGREA,INE0BY001018,Jubilant Ingrevia Limited,17136679,N.A,
389,JUBLPHARMA,INE700A01033,Jubilant Pharmova Limited,16489709,N.A,
390,JWL,INE209L01016,Jupiter Wagons Limited,27087723,N.A,
391,JYOTHYLAB,INE668F01031,Jyothy Labs Limited,27255965,N.A,
392,JYOTICNC,INE980O01024,Jyoti CNC Automation Limited,17035320,N.A,
393,KAJARIACER,INE217B01036,Kajaria Ceramics Limited,16663412,N.A,
394,KALYANKJIL,INE303R01014,Kalyan Jewellers India Limited,76699553,N.A,
395,KANSAINER,INE531A01024,Kansai Nerolac Paints Limited,40490885,N.A,
396,KARURVYSYA,INE036D01028,Karur Vysya Bank Limited,189335452,N.A,
397,KAYNES,INE918Z01012,Kaynes Technology India Limited,6239224,N.A,
398,KEC,INE389H01022,KEC International Limited,26566180,N.A,
399,KEI,INE878B01027,KEI Industries Limited,12427921,N.A,
400,KERNEX,INE202H01019,Kernex Microsystems (India) Limited,2395200,N.A,
401,KFINTECH,INE138Y01010,Kfin Technologies Limited,26617890,N.A,
402,KIMS,INE967H01025,Krishna Institute of Medical Sciences Limited,52729921,N.A,
403,KIRIINDUS,INE415I01015,Kiri Industries Limited,7596745,N.A,
404,KIRLOSBROS,INE732A01036,Kirloskar Brothers Limited,5407450,N.A,
405,KIRLOSENG,INE146L01010,Kirloskar Oil Engines Limited,17130769,N.A,
406,KIRLPNU,INE811A01020,Kirloskar Pneumatic Company Limited,7949213,N.A,
407,KISSHT,INE12F801023,OnEMI Technology Solutions Limited,25339579,N.A,
408,KMEW,INE0CJD01029,Knowledge Marine & Engineering Works Limited,2267088,N.A,
409,KNACK,INE17QZ01016,Knack Packaging Limited,7196333,N.A,
410,KNRCON,INE634I01029,KNR Constructions Limited,28795091,N.A,
411,KOTAKBANK,INE237A01036,Kotak Mahindra Bank Limited,1474701434,N.A,
412,KPIGREEN,INE542W01025,KPI Green Energy Limited,19936508,N.A,
413,KPIL,INE220B01022,Kalpataru Projects International Limited,22683971,N.A,
414,KPITTECH,INE04I401011,KPIT Technologies Limited,32831792,N.A,
415,KPRMILL,INE930H01031,K.P.R. Mill Limited,22201577,N.A,
416,KRBL,INE001B01026,KRBL Limited,18234028,N.A,
417,KRISHANA,INE506W01020,Krishana Phoschem Limited,16733507,N.A,
418,KSB,INE999A01023,Ksb Limited,10513538,N.A,
419,KSCL,INE455I01029,Kaveri Seed Company Limited,3983725,N.A,
420,KTKBANK,INE614B01018,The Karnataka Bank Limited,75636312,N.A,
421,LALPATHLAB,INE600L01024,Dr. Lal Path Labs Ltd.,15563101,N.A,
422,LATENTVIEW,INE0I7C01011,Latent View Analytics Limited,14443611,N.A,
423,LAURUSLABS,INE947Q01028,Laurus Labs Limited,78284972,N.A,
424,LEMONTREE,INE970X01018,Lemon Tree Hotels Limited,123011237,N.A,
425,LENSKART,INE956O01016,Lenskart Solutions Limited,284867970,N.A,
426,LGEINDIA,INE324D01010,LG Electronics India Limited,20363172,N.A,
427,LICHSGFIN,INE115A01026,LIC Housing Finance Limited,60244101,N.A,
428,LICI,INE0J1Y01017,Life Insurance Corporation Of India,88549968,N.A,
429,LINDEINDIA,INE473A01011,Linde India Limited,4264211,N.A,
430,LLOYDSENGG,INE093R01011,LLOYDS ENGINEERING WORKS LIMITED,171439394,N.A,
431,LLOYDSENT,INE080I01025,Lloyds Enterprises Limited,113826405,N.A,
432,LLOYDSME,INE281B01032,Lloyds Metals And Energy Limited,43127196,N.A,
433,LMW,INE269B01029,LMW Limited,1478578,N.A,
434,LODHA,INE670K01029,Lodha Developers Limited,55397323,N.A,
435,LT,INE018A01030,Larsen & Toubro Limited,272228582,N.A,
436,LTF,INE498L01015,L&T Finance Limited,170595215,N.A,
437,LTFOODS,INE818H01020,LT Foods Limited,34027208,N.A,
438,LTM,INE214T01019,LTM Limited,18658388,N.A,
439,LTTS,INE010V01017,L&T Technology Services Limited,5602249,N.A,
440,LUMAXIND,INE162B01018,Lumax Industries Limited,467387,N.A,
441,LUMAXTECH,INE872H01027,Lumax Auto Technologies Limited,6000655,N.A,
442,LUPIN,INE326A01037,Lupin Limited,48593285,N.A,
443,LXCHEM,INE576O01020,Laxmi Organic Industries Limited,16988275,N.A,
444,M&M,INE101A01026,Mahindra & Mahindra Limited,190826505,N.A,
445,M&MFIN,INE774D01024,Mahindra & Mahindra Financial Services Limited,132000220,N.A,
446,MAHABANK,INE457A01014,Bank of Maharashtra,406099064,N.A,
447,MAHSCOOTER,INE288A01013,Maharashtra Scooters Limited,1120002,N.A,
448,MAHSEAMLES,INE271B01025,Maharashtra Seamless Limited,7965344,N.A,
449,MANAPPURAM,INE522D01027,Manappuram Finance Limited,128187018,N.A,
450,MANINDS,INE993A01026,Man Industries (India) Limited,8519510,N.A,
451,MANKIND,INE634S01028,Mankind Pharma Limited,22573543,N.A,
452,MANORAMA,INE00VM01036,Manorama Industries Limited,5454625,N.A,
453,MANYAVAR,INE825V01034,Vedant Fashions Limited,12177622,N.A,
454,MAPMYINDIA,INE0BV301023,C.E. Info Systems Limited,5321451,N.A,
455,MARICO,INE196A01026,Marico Limited,106140968,N.A,
456,MARINE,INE01JE01028,Marine Electricals (India) Limited,8901539,N.A,
457,MARKSANS,INE750C01026,Marksans Pharma Limited,50868347,N.A,
458,MARUTI,INE585B01010,Maruti Suzuki India Limited,26079420,N.A,
459,MASTEK,INE759A01021,Mastek Limited,3982917,N.A,
460,MAXHEALTH,INE027H01010,Max Healthcare Institute Limited,148471468,N.A,
461,MAZDOCK,INE249Z01020,Mazagon Dock Shipbuilders Limited,15152300,N.A,
462,MBAPL,INE900L01028,Madhya Bharat Agro Products Limited,22117596,N.A,
463,MCX,INE745G01043,Multi Commodity Exchange of India Limited,50902818,N.A,
464,MEDANTA,INE474Q01031,Global Health Limited,35972395,N.A,
465,MEDPLUS,INE804L01022,Medplus Health Services Limited,14344518,N.A,
466,MEESHO,INE0VDM01015,Meesho Limited,770482431,N.A,
467,METROPOLIS,INE112L01020,Metropolis Healthcare Limited,21203157,N.A,
468,MFSL,INE180A01020,Max Financial Services Limited,68159703,N.A,
469,MGL,INE002S01010,Mahanagar Gas Limited,13335006,N.A,
470,MIDHANI,INE099Z01011,Mishra Dhatu Nigam Limited,9741680,N.A,
471,MINDACORP,INE842C01021,Minda Corporation Limited,16067447,N.A,
472,MMTC,INE123F01029,MMTC Limited,30219371,N.A,
473,MOBIKWIK,INE0HLU01028,One Mobikwik Systems Limited,11796429,N.A,
474,MOIL,INE490G01020,MOIL Limited,14372225,N.A,
475,MOREPENLAB,INE083A01026,Morepen Laboratories Limited,70516422,N.A,
476,MOSCHIP,INE935B01025,Moschip Technologies Limited,23288828,N.A,
477,MOTHERSON,INE775A01035,Samvardhana Motherson International Limited,1080403423,N.A,
478,MOTILALOFS,INE338I01027,Motilal Oswal Financial Services Limited,39495790,N.A,
479,MPHASIS,INE356A01018,MphasiS Limited,26503482,N.A,
480,MRF,INE883A01011,MRF Limited,612642,N.A,
481,MRPL,INE103A01014,Mangalore Refinery and Petrochemicals Limited,40018232,N.A,
482,MSTCLTD,INE255X01014,Mstc Limited,4963840,N.A,
483,MSUMI,INE0FS801015,Motherson Sumi Wiring India Limited,507632032,N.A,
484,MTARTECH,INE864I01014,Mtar Technologies Limited,4278977,N.A,
485,MUFIN,INE08KJ01020,Mufin Green Finance Limited,20885307,N.A,
486,MUTHOOTFIN,INE414G01012,Muthoot Finance Limited,21400921,N.A,
487,NAM-INDIA,INE298J01013,Nippon Life India Asset Management Limited,35817580,N.A,
488,NATCOPHARM,INE987B01026,Natco Pharma Limited,18118949,N.A,
489,NATIONALUM,INE139A01034,National Aluminium Company Limited,178967755,N.A,
490,NAUKRI,INE663F01032,Info Edge (India) Limited,80922153,N.A,
491,NAVA,INE725A01030,NAVA LIMITED,28307542,N.A,
492,NAVINFLUOR,INE048G01026,Navin Fluorine International Limited,7471370,N.A,
493,NAZARA,INE418L01047,Nazara Technologies Limited,47821645,N.A,
494,NBCC,INE095N01031,NBCC (India) Limited,206526272,N.A,
495,NCC,INE868B01028,NCC Limited,96583819,N.A,
496,NELCO,INE045B01015,NELCO Limited,2277892,N.A,
497,NEOGEN,INE136S01016,Neogen Chemicals Limited,2573387,N.A,
498,NESTLEIND,INE239A01024,Nestle India Limited,143602548,N.A,
499,NETWEB,INE0NT901020,Netweb Technologies India Limited,3759829,N.A,
500,NETWORK18,INE870H01013,Network18 Media & Investments Limited,132948252,N.A,
501,NEULANDLAB,INE794A01010,Neuland Laboratories Limited,1728581,N.A,
502,NEWGEN,INE619B01017,Newgen Software Technologies Limited,13056790,N.A,
503,NFL,INE870D01012,National Fertilizers Limited,24809774,N.A,
504,NH,INE410P01011,Narayana Hrudayalaya Ltd.,14758221,N.A,
505,NHPC,INE848E01016,NHPC Limited,654977669,N.A,
506,NIACL,INE470Y01017,The New India Assurance Company Limited,48000000,N.A,
507,NIVABUPA,INE995S01015,Niva Bupa Health Insurance Company Limited,164953260,N.A,
508,NLCINDIA,INE589A01014,NLC India Limited,77096009,N.A,
509,NMDC,INE584A01023,NMDC Limited,689383367,N.A,
510,NORTHARC,INE850M01015,Northern Arc Capital Limited,32312102,N.A,
511,NSLNISP,INE0NNS01018,NMDC Steel Limited,229794456,N.A,
512,NTPC,INE733E01010,NTPC Limited,948263977,N.A,
513,NTPCGREEN,INE0ONG01011,NTPC Green Energy Limited,185265934,N.A,
514,NUVAMA,INE531F01023,Nuvama Wealth Management Limited,16700958,N.A,
515,NUVOCO,INE118D01016,Nuvoco Vistas Corporation Limited,19987695,N.A,
516,NYKAA,INE388Y01029,FSN E-Commerce Ventures Limited,274367043,N.A,
517,OBEROIRLTY,INE093I01010,Oberoi Realty Limited,23485458,N.A,
518,OFSS,INE881D01027,Oracle Financial Services Software Limited,4804188,N.A,
519,OIL,INE274J01014,Oil India Limited,141008560,N.A,
520,OLAELEC,INE0LXG01040,Ola Electric Mobility Limited,578566187,N.A,
521,OLECTRA,INE260D01016,Olectra Greentech Limited,8205547,N.A,
522,ONESOURCE,INE013P01021,Onesource Specialty Pharma Limited,15936219,N.A,
523,ONGC,INE213A01029,Oil & Natural Gas Corporation Limited,1034282423,N.A,
524,ORKLAINDIA,INE16NZ01023,Orkla India Limited,6849462,N.A,
525,PACEDIGITK,INE0S3G01027,Pace Digitek Limited,13158837,N.A,
526,PAGEIND,INE761H01022,Page Industries Limited,1274066,N.A,
527,PARADEEP,INE088F01024,Paradeep Phosphates Limited,87625275,N.A,
528,PARAGMILK,INE883N01014,Parag Milk Foods Limited,14830416,N.A,
529,PARAS,INE045601023,Paras Defence and Space Technologies Limited,7543749,N.A,
530,PARKHOSPS,INE119201023,Park Medi World Limited,14776471,N.A,
531,PATANJALI,INE619A01035,Patanjali Foods Limited,69104781,N.A,
532,PATELENG,INE244B01030,Patel Engineering Limited,128543997,N.A,
533,PAYTM,INE982J01020,One 97 Communications Limited,128009136,N.A,
534,PCBL,INE602A01031,PCBL Chemical Limited,36685279,N.A,
535,PCJEWELLER,INE785M01021,PC Jeweller Limited,1194503779,N.A,
536,PERSISTENT,INE262H01021,Persistent Systems Limited,21688223,N.A,
537,PETRONET,INE347G01014,Petronet LNG Limited,150000018,N.A,
538,PFC,INE134E01011,Power Finance Corporation Limited,290447408,N.A,
539,PFIZER,INE182A01018,Pfizer Limited,3300938,N.A,
540,PGEL,INE457L01029,PG Electroplast Limited,32294604,N.A,
541,PGHH,INE179A01014,Procter & Gamble Hygiene and Health Care Limited,1906193,N.A,
542,PGHL,INE199A01012,Procter & Gamble Health Limited,1599662,N.A,
543,PGIL,INE940H01022,Pearl Global Industries Limited,3591860,N.A,
544,PHOENIXLTD,INE211B01039,The Phoenix Mills Limited,37734300,N.A,
545,PICCADIL,INE546C01010,Piccadily Agro Industries Limited,6196501,N.A,
546,PIDILITIND,INE318A01026,Pidilite Industries Limited,62451346,N.A,
547,PIIND,INE603J01030,PI Industries Limited,16356551,N.A,
548,PINELABS,INE15B701018,Pine Labs Limited,229655275,N.A,
549,PIRAMALFIN,INE202B01038,Piramal Finance Limited,24273824,N.A,
550,PNB,INE160A01022,Punjab National Bank,687763517,N.A,
551,PNBHOUSING,INE572E01012,PNB Housing Finance Limited,37499675,N.A,
552,PNCINFRA,INE195J01029,PNC Infratech Limited,22539633,N.A,
553,POCL,INE063E01061,Pondy Oxides & Chemicals Limited,9253639,N.A,
554,POLICYBZR,INE417T01026,PB Fintech Limited,92408040,N.A,
555,POLYCAB,INE455K01017,Polycab India Limited,11593533,N.A,
556,POLYMED,INE205C01021,Poly Medicure Limited,7618830,N.A,
557,POLYPLEX,INE633B01018,Polyplex Corporation Limited,4600278,N.A,
558,POONAWALLA,INE511C01022,Poonawalla Fincorp Limited,71229060,N.A,
559,POWERGRID,INE752E01010,Power Grid Corporation of India Limited,905143908,N.A,
560,POWERINDIA,INE07Y701011,Hitachi Energy India Limited,2557221,N.A,
561,POWERMECH,INE211R01019,Power Mech Projects Limited,2629345,N.A,
562,PPLPHARMA,INE0DK501011,Piramal Pharma Limited,172283868,N.A,
563,PRAJIND,INE074A01025,Praj Industries Limited,24702618,N.A,
564,PRECWIRE,INE372C01037,Precision Wires India Limited,15862246,N.A,
565,PREMIERENE,INE0BS701011,Premier Energies Limited,32334098,N.A,
566,PRESTIGE,INE811K01011,Prestige Estates Projects Limited,33646046,N.A,
567,PRICOLLTD,INE726V01018,Pricol Limited,14989333,N.A,
568,PRIVISCL,INE959A01019,Privi Speciality Chemicals Limited,3078146,N.A,
569,PRUDENT,INE00F201020,Prudent Corporate Advisory Services Limited,3701057,N.A,
570,PSB,INE608A01012,Punjab & Sind Bank,87306825,N.A,
571,PTC,INE877F01012,PTC India Limited,49601664,N.A,
572,PTCIL,INE596F01018,PTC Industries Limited,1207822,N.A,
573,PVRINOX,INE191H01014,PVR INOX Limited,14233179,N.A,
574,PWL,INE0LP301011,Physicswallah Limited,158430977,N.A,
575,QUESS,INE615P01015,Quess Corp Limited,12893449,N.A,
576,RADICO,INE944F01028,Radico Khaitan Limited,16013623,N.A,
577,RAILTEL,INE0DD101019,Railtel Corporation Of India Limited,17430674,N.A,
578,RAIN,INE855B01025,Rain Industries Limited,39454665,N.A,
579,RAINBOW,INE961O01016,Rainbow Childrens Medicare Limited,10152457,N.A,
580,RALLIS,INE613A01020,Rallis India Limited,17470456,N.A,
581,RAMCOCEM,INE331A01037,The Ramco Cements Limited,27147521,N.A,
582,RATEGAIN,INE0CLI01024,Rategain Travel Technologies Limited,12093027,N.A,
583,RATNAMANI,INE703B01027,Ratnamani Metals & Tubes Limited,5639336,N.A,
584,RATNAVEER,INE05CZ01011,Ratnaveer Precision Engineering Limited,7787333,N.A,
585,RAYMOND,INE301A01014,Raymond Limited,6803466,N.A,
586,RBA,INE07T201019,Restaurant Brands Asia Limited,129164925,N.A,
587,RBLBANK,INE976G01028,RBL Bank Limited,123884643,N.A,
588,RCF,INE027A01015,Rashtriya Chemicals and Fertilizers Limited,27583723,N.A,
589,RECLTD,INE020B01018,REC Limited,249446068,N.A,
590,REDINGTON,INE891D01026,Redington Limited,156354886,N.A,
591,REFEX,INE056I01025,Refex Industries Limited,12115261,N.A,
592,RELIANCE,INE002A01018,Reliance Industries Limited,1329137742,N.A,
593,RELIGARE,INE621H01010,Religare Enterprises Limited,47393779,N.A,
594,RENUKA,INE087H01022,Shree Renuka Sugars Limited,159722908,N.A,
595,RICOAUTO,INE209B01025,Rico Auto Industries Limited,13438551,N.A,
596,RIIL,INE046A01015,Reliance Industrial Infrastructure Limited,1647987,N.A,
597,RITES,INE320J01015,RITES Limited,26718846,N.A,
598,RKFORGE,INE399G01023,Ramkrishna Forgings Limited,20547895,N.A,
599,ROLEXRINGS,INE645S01024,Rolex Rings Limited,26013374,N.A,
600,ROUTE,INE450U01017,ROUTE MOBILE LIMITED,3168874,N.A,
601,RPOWER,INE614G01033,Reliance Power Limited,620499124,N.A,
602,RRKABEL,INE777K01022,R R Kabel Limited,8675862,N.A,
603,RTNPOWER,INE399K01017,RattanIndia Power Limited,600800451,N.A,
604,RUBICON,INE506V01022,Rubicon Research Limited,13252753,N.A,
605,RVNL,INE415G01027,Rail Vikas Nigam Limited,113255281,N.A,
606,SAFARI,INE429E01023,Safari Industries (India) Limited,5418785,N.A,
607,SAGILITY,INE0W2G01015,SAGILITY LIMITED,459239852,N.A,
608,SAIL,INE114A01011,Steel Authority of India Limited,289148548,N.A,
609,SAILIFE,INE570L01029,Sai Life Sciences Limited,27696912,N.A,
610,SAMBHV,INE12NJ01018,Sambhv Steel Tubes Limited,25844427,N.A,
611,SAMHI,INE08U801020,Samhi Hotels Limited,44426947,N.A,
612,SAMMAANCAP,INE148I01020,Sammaan Capital Limited,229162774,N.A,
613,SANDHAR,INE278H01035,Sandhar Technologies Limited,3565693,N.A,
614,SANDUMA,INE149K01016,Sandur Manganese & Iron Ores Limited,25065708,N.A,
615,SANOFI,INE058A01010,Sanofi India Limited,1824207,N.A,
616,SANSERA,INE953O01021,Sansera Engineering Limited,8835266,N.A,
617,SAPPHIRE,INE806T01020,Sapphire Foods India Limited,47520936,N.A,
618,SARDAEN,INE385C01021,Sarda Energy & Minerals Limited,18916824,N.A,
619,SAREGAMA,INE979A01025,Saregama India Limited,14931489,N.A,
620,SBC,INE04AK01028,SBC Exports Limited,47285520,N.A,
621,SBCL,INE386D01027,Shivalik Bimetal Controls Limited,7676749,N.A,
622,SBFC,INE423Y01016,SBFC Finance Limited,105303264,N.A,
623,SBICARD,INE018E01016,SBI Cards and Payment Services Limited,59143068,N.A,
624,SBILIFE,INE123W01016,SBI Life Insurance Company Limited,89618424,N.A,
625,SBIN,INE062A01020,State Bank of India,813861496,N.A,
626,SCHAEFFLER,INE513A01022,Schaeffler India Limited,8088087,N.A,
627,SCI,INE109A01011,Shipping Corporation Of India Limited,33771207,N.A,
628,SEDEMAC,INE00XB01019,SEDEMAC Mechatronics Limited,6515100,N.A,
629,SENCO,INE602W01027,Senco Gold Limited,11635205,N.A,
630,SENORES,INE0RB801010,Senores Pharmaceuticals Limited,4990646,N.A,
631,SFL,INE916U01025,Sheela Foam Limited,7460263,N.A,
632,SHADOWFAX,INE12UN01015,Shadowfax Technologies Limited,97137044,N.A,
633,SHAILY,INE151G01028,Shaily Engineering Plastics Limited,5202499,N.A,
634,SHAKTIPUMP,INE908D01010,Shakti Pumps (India) Limited,12252434,N.A,
635,SHARDACROP,INE221J01015,Sharda Cropchem Limited,4543332,N.A,
636,SHAREINDIA,INE932X01026,Share India Securities Limited,22488057,N.A,
637,SHILPAMED,INE790G01031,Shilpa Medicare Limited,23417034,N.A,
638,SHREECEM,INE070A01015,SHREE CEMENT LIMITED,2702310,N.A,
639,SHREEJISPG,INE1B6101010,Shreeji Shipping Global Limited,3259575,N.A,
640,SHRINGARMS,INE1B3L01017,Shringar House of Mangalsutra Limited,4860160,N.A,
641,SHRIPISTON,INE526E01018,SPR Auto Technologies Limited,4955344,N.A,
642,SHRIRAMFIN,INE721A01047,Shriram Finance Limited,375011109,N.A,
643,SHYAMMETL,INE810G01011,Shyam Metalics and Energy Limited,14036146,N.A,
644,SIEMENS,INE003A01024,Siemens Limited,17806118,N.A,
645,SIGNATURE,INE903U01023,Signatureglobal (India) Limited,8535398,N.A,
646,SIRCA,INE792Z01011,Sirca Paints India Limited,3954156,N.A,
647,SJS,INE284S01014,S.J.S. Enterprises Limited,5045800,N.A,
648,SJVN,INE002L01015,SJVN Limited,142687689,N.A,
649,SKFINDIA,INE640A01023,SKF India Limited,4689181,N.A,
650,SKIPPER,INE439E01022,Skipper Limited,7564676,N.A,
651,SKYGOLD,INE01IU01018,SKY GOLD AND DIAMONDS LIMITED,14948518,N.A,
652,SOBHA,INE671H01015,Sobha Limited,10078958,N.A,
653,SOLARINDS,INE343H01029,Solar Industries India Limited,4859757,N.A,
654,SONACOMS,INE073K01018,Sona BLW Precision Forgings Limited,89527247,N.A,
655,SONATSOFTW,INE269A01021,Sonata Software Limited,39559721,N.A,
656,SOUTHBANK,INE683A01023,The South Indian Bank Limited,523613213,N.A,
657,SPARC,INE232I01014,Sun Pharma Advanced Research Company Limited,22281299,N.A,
658,SRF,INE647A01010,SRF Limited,29484705,N.A,
659,STAR,INE939A01011,Strides Pharma Science Limited,13288689,N.A,
660,STARCEMENT,INE460H01021,Star Cement Limited,33856969,N.A,
661,STARHEALTH,INE575P01011,Star Health and Allied Insurance Company Limited,49450514,N.A,
662,STOVEKRAFT,INE00IN01015,Stove Kraft Limited,2927641,N.A,
663,STYLAMIND,INE239C01020,Stylam Industries Limited,1555622,N.A,
664,SUDARSCHEM,INE659A01023,Sudarshan Chemical Industries Limited,14434266,N.A,
665,SUMICHEM,INE258G01013,Sumitomo Chemical India Limited,24957287,N.A,
666,SUNDARMFIN,INE660A01013,Sundaram Finance Limited,13775858,N.A,
667,SUNDRMFAST,INE387A01021,Sundram Fasteners Limited,22296565,N.A,
668,SUNPHARMA,INE044A01036,Sun Pharmaceutical Industries Limited,218443087,N.A,
669,SUNTV,INE424H01027,Sun TV Network Limited,19704233,N.A,
670,SUPREMEIND,INE195A01028,Supreme Industries Limited,12965829,N.A,
671,SURYAROSNI,INE335A01020,Surya Roshni Limited,16096524,N.A,
672,SUZLON,INE040H01021,Suzlon Energy Limited,2426822377,N.A,
673,SWANCORP,INE665A01038,SWAN CORP LIMITED,28861777,N.A,
674,SWARAJENG,INE277A01016,Swaraj Engines Limited,1163745,N.A,
675,SWIGGY,INE00H001014,Swiggy Limited,521210936,N.A,
676,SWSOLAR,INE00M201021,Sterling and Wilson Renewable Energy Limited,25350394,N.A,
677,SYMPHONY,INE225D01027,Symphony Limited,3649844,N.A,
678,SYNGENE,INE398R01022,Syngene International Limited,37897947,N.A,
679,SYRMA,INE0DYJ01015,Syrma SGS Technology Limited,22218691,N.A,
680,TANLA,INE483C01032,Tanla Platforms Limited,14153044,N.A,
681,TARIL,INE763I01026,Transformers And Rectifiers (India) Limited,21393507,N.A,
682,TATACAP,INE976I01016,Tata Capital Limited,118227660,N.A,
683,TATACHEM,INE092A01019,Tata Chemicals Limited,31601465,N.A,
684,TATACOMM,INE151A01013,Tata Communications Limited,23447901,N.A,
685,TATACONSUM,INE192A01025,TATA CONSUMER PRODUCTS LIMITED,130949589,N.A,
686,TATAELXSI,INE670A01012,Tata Elxsi Limited,6989553,N.A,
687,TATAINVEST,INE672A01026,Tata Investment Corporation Limited,26932698,N.A,
688,TATAPOWER,INE245A01021,Tata Power Company Limited,339616396,N.A,
689,TATASTEEL,INE081A01020,Tata Steel Limited,1667987352,N.A,
690,TATATECH,INE142M01025,Tata Technologies Limited,36390917,N.A,
691,TBOTEK,INE673O01025,TBO Tek Limited,11712508,N.A,
692,TCS,INE467B01029,Tata Consultancy Services Limited,204305778,N.A,
693,TDPOWERSYS,INE419M01027,TD Power Systems Limited,22849954,N.A,
694,TECHM,INE669C01036,Tech Mahindra Limited,127428384,N.A,
695,TECHNOE,INE285K01026,Techno Electric & Engineering Company Limited,10019660,N.A,
696,TEGA,INE011K01018,Tega Industries Limited,4882781,N.A,
697,TEJASNET,INE010J01012,Tejas Networks Limited,16520936,N.A,
698,TENNIND,INE19RI01016,Tenneco Clean Air India Limited,20352645,N.A,
699,TEXRAIL,INE621L01012,Texmaco Rail & Engineering Limited,42035604,N.A,
700,TFCILTD,INE305A01023,Tourism Finance Corporation of India Limited,89034476,N.A,
701,THANGAMAYL,INE085J01014,Thangamayil Jewellery Limited,2386689,N.A,
702,THELEELA,INE0AQ201015,Leela Palaces Hotels & Resorts Limited,16091954,N.A,
703,THERMAX,INE152A01029,Thermax Limited,7758673,N.A,
704,THOMASCOOK,INE332A01027,Thomas Cook  (India)  Limited,33139039,N.A,
705,THYROCARE,INE594H01019,Thyrocare Technologies Limited,12439124,N.A,
706,TI,INE133E01013,Tilaknagar Industries Limited,33756473,N.A,
707,TIINDIA,INE974X01010,Tube Investments of India Limited,21660720,N.A,
708,TIMETECHNO,INE508G01029,Time Technoplast Limited,51767954,N.A,
709,TIMKEN,INE325A01013,Timken India Limited,7363749,N.A,
710,TIPSMUSIC,INE716B01029,Tips Music Limited,9164407,N.A,
711,TITAGARH,INE615H01020,TITAGARH RAIL SYSTEMS LIMITED,16037381,N.A,
712,TITAN,INE280A01028,Titan Company Limited,83488668,N.A,
713,TMB,INE668A01016,Tamilnad Mercantile Bank Limited,31670291,N.A,
714,TMCV,INE1TAE01010,Tata Motors Limited,422992475,N.A,
715,TMPV,INE155A01022,Tata Motors Passenger Vehicles Limited,423001713,N.A,
716,TORNTPHARM,INE685A01028,Torrent Pharmaceuticals Limited,21452008,N.A,
717,TORNTPOWER,INE813H01021,Torrent Power Limited,49292045,N.A,
718,TRANSRAILL,INE454P01035,Transrail Lighting Limited,7755508,N.A,
719,TRENT,INE849A01020,Trent Limited,67181196,N.A,
720,TRIDENT,INE064C01022,Trident Limited,268214053,N.A,
721,TRITURBINE,INE152M01016,Triveni Turbine Limited,28077641,N.A,
722,TRIVENI,INE256C01024,Triveni Engineering & Industries Limited,17081361,N.A,
723,TTML,INE517B01013,Tata Teleservices (Maharashtra) Limited,100251080,N.A,
724,TVSHLTD,INE105A01035,TVS Holdings Limited,1033741,N.A,
725,TVSMOTOR,INE494B01023,TVS Motor Company Limited,47229460,N.A,
726,UBL,INE686F01025,United Breweries Limited,15424676,N.A,
727,UCOBANK,INE691A01018,UCO Bank,226929691,N.A,
