Sr. No.,Symbol,ISIN,Security Name,Overall Permitted Qty. Across All Segments,Memberwise Permitted Qty for CM Segment,
83,AZAD,INE02IJ01035,Azad Engineering Limited,5703501,N.A,
84,BAJAJ-AUTO,INE917I01010,Bajaj Auto Limited,25102981,N.A,
85,BAJAJCON,INE933K01021,Bajaj Consumer Care Limited,14898664,N.A,
86,BAJAJFINSV,INE918I01026,Bajaj Finserv Limited,131771723,N.A,
87,BAJAJHFL,INE377Y01014,Bajaj Housing Finance Limited,220851632,N.A,
88,BAJAJHIND,INE306A01021,Bajaj Hindusthan Sugar Limited,410683811,N.A,
89,BAJAJHLDNG,INE118A01012,Bajaj Holdings & Investment Limited,10803987,N.A,
90,BAJFINANCE,INE296A01032,Bajaj Finance Limited,562778077,N.A,
91,BALKRISIND,INE787D01026,Balkrishna Industries Limited,16125398,N.A,
92,BALMLAWRIE,INE164A01016,Balmer Lawrie & Company Limited,34200769,N.A,
93,BALRAMCHIN,INE119A01028,Balrampur Chini Mills Limited,24145118,N.A,
94,BALUFORGE,INE011E01029,Balu Forge Industries Limited,10489365,N.A,
95,BANCOINDIA,INE213C01025,Banco Products (I) Limited,9187463,N.A,
96,BANDHANBNK,INE545U01014,Bandhan Bank Limited,196589694,N.A,
97,BANKBARODA,INE028A01039,Bank of Baroda,372635498,N.A,
98,BANKINDIA,INE084A01016,Bank of India,242361229,N.A,
99,BASF,INE373A01013,BASF India Limited,2308484,N.A,
100,BATAINDIA,INE176A01028,Bata India Limited,12812405,N.A,
101,BAYERCROP,INE462A01022,Bayer Cropscience Limited,2149829,N.A,
102,BBL,INE464A01036,Bharat Bijlee Limited,1499824,N.A,
103,BBOX,INE676A01027,Black Box Limited,10651532,N.A,
104,BBTC,INE050A01025,The Bombay Burmah Trading Corporation Limited,3621771,N.A,
105,BDL,INE171Z01026,Bharat Dynamics Limited,18382289,N.A,
106,BECTORFOOD,INE495P01020,Mrs. Bectors Food Specialities Limited,31290865,N.A,
107,BEL,INE263A01024,Bharat Electronics Limited,714371379,N.A,
108,BELRISE,INE894V01022,Belrise Industries Limited,59699186,N.A,
109,BEML,INE258A01024,BEML Limited,7657800,N.A,
110,BERGEPAINT,INE463A01038,Berger Paints (I) Limited,58354675,N.A,
111,BHARATCOAL,INE05XR01022,Bharat Coking Coal Limited,93140000,N.A,
112,BHARATFORG,INE465A01025,Bharat Forge Limited,53477002,N.A,
113,BHARTIARTL,INE397D01024,Bharti Airtel Limited,622728209,N.A,
114,BHARTIHEXA,INE343G01021,Bharti Hexacom Limited,30000001,N.A,
115,BHEL,INE257A01026,Bharat Heavy Electricals Limited,291324554,N.A,
116,BIKAJI,INE00E101023,Bikaji Foods International Limited,13099401,N.A,
117,BIOCON,INE376G01013,Biocon Limited,180149119,N.A,
118,BIRLACORPN,INE340A01012,Birla Corporation Limited,5714231,N.A,
119,BLACKBUCK,INE0UIZ01018,BLACKBUCK LIMITED,27320616,N.A,
120,BLS,INE153T01027,BLS International Services Limited,24338485,N.A,
121,BLUEDART,INE233B01017,Blue Dart Express Limited,1186397,N.A,
122,BLUESTARCO,INE472A01039,Blue Star Limited,26113559,N.A,
123,BLUESTONE,INE304W01038,BlueStone Jewellery and Lifestyle Limited,25493878,N.A,
124,BOMDYEING,INE032A01023,Bombay Dyeing & Mfg Company Limited,19178746,N.A,
125,BORORENEW,INE666D01022,BOROSIL RENEWABLES LIMITED,11558672,N.A,
126,BOSCHLTD,INE323A01026,Bosch Limited,1737683,N.A,
127,BPCL,INE029A01011,Bharat Petroleum Corporation Limited,408027661,N.A,
128,BRIGADE,INE791I01019,Brigade Enterprises Limited,38421069,N.A,
129,BRITANNIA,INE216A01030,Britannia Industries Limited,23823081,N.A,
130,BSE,INE118H01025,BSE Limited,81576815,N.A,
131,BSOFT,INE836A01035,BIRLASOFT LIMITED,33320101,N.A,
132,CAMPUS,INE278Y01022,Campus Activewear Limited,17055040,N.A,
133,CAMS,INE596I01020,Computer Age Management Services Limited,49596900,N.A,
134,CANBK,INE476A01022,Canara Bank,672420574,N.A,
135,CANFINHOME,INE477A01020,Can Fin Homes Limited,18644845,N.A,
136,CANHLIFE,INE01TY01017,Canara HSBC Life Insurance Company Limited,71696985,N.A,
137,CAPLIPOINT,INE475E01026,Caplin Point Laboratories Limited,4473869,N.A,
138,CARBORUNIV,INE120A01034,Carborundum Universal Limited,23282230,N.A,
139,CARTRADE,INE290S01011,Cartrade Tech Limited,9575607,N.A,
140,CARYSIL,INE482D01024,CARYSIL LIMITED,3337171,N.A,
141,CASTROLIND,INE172A01027,Castrol India Limited,96933994,N.A,
142,CCAVENUE,INE483S01020,AvenuesAI Limited,505401742,N.A,
143,CCL,INE421D01022,CCL Products (India) Limited,14343431,N.A,
144,CDSL,INE736A01011,Central Depository Services (India) Limited,35530000,N.A,
145,CEATLTD,INE482A01020,CEAT Limited,4242478,N.A,
146,CEIGALL,INE0AG901020,Ceigall India Limited,6251610,N.A,
147,CELLO,INE0LMW01024,Cello World Limited,11044411,N.A,
148,CEMPRO,INE686A01026,Cemindia Projects Limited,11178940,N.A,
149,CENTRALBK,INE483A01010,Central Bank of India,340524338,N.A,
150,CENTUM,INE320B01020,Centum Electronics Limited,1566101,N.A,
151,CERA,INE739E01017,Cera Sanitaryware Limited,1175443,N.A,
152,CESC,INE486A01021,CESC Limited,126959974,N.A,
153,CGCL,INE180C01042,Capri Global Capital Limited,77128531,N.A,
154,CGPOWER,INE067A01029,CG Power and Industrial Solutions Limited,137451258,N.A,
155,CHALET,INE427F01016,Chalet Hotels Limited,14325889,N.A,
156,CHAMBLFERT,INE085A01013,Chambal Fertilizers & Chemicals Limited,31047322,N.A,
157,CHENNPETRO,INE178A01016,Chennai Petroleum Corporation Limited,9742660,N.A,
158,CHOICEIN,INE102B01014,Choice International Limited,20649700,N.A,
159,CHOLAFIN,INE121A01024,Cholamandalam Investment and Finance Company Limited,86479425,N.A,
160,CHOLAHLDNG,INE149A01033,Cholamandalam Financial Holdings Limited,20139029,N.A,
161,CIEINDIA,INE536H01010,CIE Automotive India Limited,26024673,N.A,
162,CIPLA,INE059A01026,Cipla Limited,114019092,N.A,
163,CLEAN,INE227W01023,Clean Science and Technology Limited,10352891,N.A,
164,CLEANMAX,INE647U01026,Clean Max Enviro Energy Solutions Limited,11829663,N.A,
165,CMPDI,INE05HV01027,Central Mine Planning & Design Institute Limited,21420000,N.A,
166,CMRGREEN,INE00WV01027,CMR Green Technologies Limited,7009776,N.A,
167,CMSINFO,INE925R01014,CMS Info Systems Limited,32012683,N.A,
168,COALINDIA,INE522F01014,Coal India Limited,454398478,N.A,
169,COCHINSHIP,INE704P01025,Cochin Shipyard Limited,16881908,N.A,
170,COFORGE,INE591G01025,Coforge Limited,88534309,N.A,
171,COHANCE,INE03QK01018,Cohance Lifesciences Limited,32527394,N.A,
172,COLPAL,INE259A01022,Colgate Palmolive (India) Limited,26654592,N.A,
173,CONCOR,INE111A01025,Container Corporation of India Limited,68852343,N.A,
174,CONCORDBIO,INE338H01029,Concord Biotech Limited,11699919,N.A,
175,CORDELIA,INE0LZF01013,Waterways Leisure Tourism Limited,1542513,N.A,
176,COROMANDEL,INE169A01031,Coromandel International Limited,25650912,N.A,
177,CPPLUS,INE819V01029,Aditya Infotech Limited,5950704,N.A,
178,CRAFTSMAN,INE00LO01017,Craftsman Automation Limited,3012284,N.A,
179,CRAMC,INE218I01013,Canara Robeco Asset Management Company Limited,9970871,N.A,
180,CREDITACC,INE741K01010,CREDITACCESS GRAMEEN LIMITED,10817401,N.A,
181,CRISIL,INE007A01025,Crisil Limited,4879486,N.A,
182,CROMPTON,INE299U01018,Crompton Greaves Consumer Electricals Limited,128782975,N.A,
183,CSBBANK,INE679A01013,CSB Bank Limited,20016651,N.A,
184,CUB,INE491A01021,City Union Bank Limited,198145937,N.A,
185,CUMMINSIND,INE298A01020,Cummins India Limited,27165600,N.A,
186,CUPID,INE509F01029,Cupid Limited,144567860,N.A,
187,CYIENT,INE136B01020,Cyient Limited,16920910,N.A,
188,CYIENTDLM,INE055S01018,Cyient DLM Limited,7599579,N.A,
189,DABUR,INE016A01026,Dabur India Limited,119737037,N.A,
190,DALBHARAT,INE00R701025,Dalmia Bharat Limited,16566881,N.A,
191,DATAPATTNS,INE0IX101010,Data Patterns (India) Limited,6448317,N.A,
192,DBL,INE917M01012,Dilip Buildcon Limited,11974693,N.A,
193,DCBBANK,INE503A01015,DCB Bank Limited,53928630,N.A,
194,DCMSHRIRAM,INE499A01024,DCM Shriram Limited,10223576,N.A,
195,DCXINDIA,INE0KL801015,DCX Systems Limited,10656417,N.A,
196,DEEPAKFERT,INE501A01019,Deepak Fertilizers and Petrochemicals Corporation Limited,13726856,N.A,
197,DEEPAKNTR,INE288B01029,Deepak Nitrite Limited,13822509,N.A,
198,DEEPINDS,INE0FHS01024,Deep Industries Limited,4673261,N.A,
199,DELHIVERY,INE148O01028,Delhivery Limited,149721622,N.A,
200,DELTACORP,INE124G01033,Delta Corp Limited,35096033,N.A,
201,DEVYANI,INE872J01023,Devyani International Limited,95269520,N.A,
202,DIVISLAB,INE361B01024,Divi's Laboratories Limited,25546698,N.A,
203,DIXON,INE935N01020,Dixon Technologies (India) Limited,8672464,N.A,
204,DLF,INE271C01023,DLF Limited,128335064,N.A,
205,DMART,INE192R01011,Avenue Supermarts Limited,33289944,N.A,
206,DOMS,INE321T01012,DOMS Industries Limited,3594203,N.A,
207,DREDGECORP,INE506A01018,Dredging Corporation of India Limited,1485597,N.A,
208,DRREDDY,INE089A01031,Dr. Reddy's Laboratories Limited,122077151,N.A,
209,DYNAMATECH,INE221B01012,Dynamatic Technologies Limited,794640,N.A,
210,E2E,INE255Z01027,E2E Networks Limited,24858624,N.A,
211,ECLERX,INE738I01010,eClerx Services Limited,8148914,N.A,
212,EDELWEISS,INE532F01054,Edelweiss Financial Services Limited,128244534,N.A,
213,EICHERMOT,INE066A01021,Eicher Motors Limited,27949852,N.A,
214,EIDPARRY,INE126A01031,EID Parry India Limited,20831266,N.A,
215,EIEL,INE0LLY01014,Enviro Infra Engineers Limited,10465695,N.A,
216,EIHOTEL,INE230A01023,EIH Limited,83988222,N.A,
217,ELECON,INE205B01031,Elecon Engineering Company Limited,18277563,N.A,
218,ELGIEQUIP,INE285A01027,Elgi Equipments Limited,43277460,N.A,
219,EMAMILTD,INE548C01032,Emami Limited,39421318,N.A,
220,EMCURE,INE168P01015,Emcure Pharmaceuticals Limited,8392269,N.A,
221,EMMVEE,INE1C6T01020,Emmvee Photovoltaic Power Limited,27649770,N.A,
222,ENDURANCE,INE913H01037,Endurance Technologies Limited,7033142,N.A,
223,ENGINERSIN,INE510A01028,Engineers India Limited,54716758,N.A,
224,ENRIN,INE1NPP01017,Siemens Energy India Limited,17806118,N.A,
225,ENTERO,INE010601016,Entero Healthcare Solutions Limited,4140666,N.A,
226,EPACK,INE0G5901015,EPACK Durable Limited,10165271,N.A,
227,EPL,INE255A01020,EPL Limited,47153612,N.A,
228,EQUITASBNK,INE063P01018,Equitas Small Finance Bank Limited,228208612,N.A,
229,ERIS,INE406M01024,Eris Lifesciences Limited,12766829,N.A,
230,ESCORTS,INE042A01014,Escorts Kubota Limited,6780307,N.A,
231,ETERNAL,INE758T01015,ETERNAL LIMITED,1841078619,N.A,
232,EXIDEIND,INE302A01020,Exide Industries Limited,91809067,N.A,
233,FACT,INE188A01015,Fertilizers and Chemicals Travancore Limited,12941440,N.A,
234,FEDERALBNK,INE171A01029,The Federal Bank  Limited,487852319,N.A,
235,FEDFINA,INE007N01010,Fedbank Financial Services Limited,29346262,N.A,
236,FIEMIND,INE737H01014,Fiem Industries Limited,2394269,N.A,
237,FINCABLES,INE235A01022,Finolex Cables Limited,19619635,N.A,
238,FINEORG,INE686Y01026,Fine Organic Industries Limited,1533095,N.A,
239,FINPIPE,INE183A01024,Finolex Industries Limited,58549084,N.A,
240,FIRSTCRY,INE02RE01045,Brainbees Solutions Limited,97039185,N.A,
241,FIVESTAR,INE128S01021,Five-Star Business Finance Limited,48048091,N.A,
242,FLUOROCHEM,INE09N301011,Gujarat Fluorochemicals Limited,8481819,N.A,
243,FORCEMOT,INE451A01017,FORCE MOTORS LTD,1011183,N.A,
244,FORTIS,INE061F01013,Fortis Healthcare Limited,103932451,N.A,
245,FRACTAL,INE212S01015,Fractal Analytics Limited,28555983,N.A,
246,FSL,INE684F01012,Firstsource Solutions Limited,63411572,N.A,
247,GABRIEL,INE524A01029,Gabriel India Limited,12920305,N.A,
248,GAEL,INE036B01030,Gujarat Ambuja Exports Limited,33166538,N.A,
249,GAIL,INE129A01019,GAIL (India) Limited,628422326,N.A,
250,GESHIP,INE017A01032,The Great Eastern Shipping Company Limited,19966183,N.A,
251,GHCL,INE539A01019,GHCL Limited,14772637,N.A,
252,GICRE,INE481Y01014,General Insurance Corporation of India,61766477,N.A,
253,GILLETTE,INE322A01010,Gillette India Limited,1629483,N.A,
254,GLAND,INE068V01023,Gland Pharma Limited,15872498,N.A,
255,GLAXO,INE159A01016,GlaxoSmithKline Pharmaceuticals Limited,8470302,N.A,
256,GLENMARK,INE935A01035,Glenmark Pharmaceuticals Limited,30109625,N.A,
257,GMBREW,INE075D01018,GM Breweries Limited,1168354,N.A,
258,GMDCLTD,INE131A01031,Gujarat Mineral Development Corporation Limited,16536000,N.A,
259,GMMPFAUDLR,INE541A01023,GMM Pfaudler Limited,6727388,N.A,
260,GMRAIRPORT,INE776C01039,GMR AIRPORTS LIMITED,711119209,N.A,
261,GMRP&UI,INE0CU601026,GMR Power and Urban Infra Limited,83918141,N.A,
262,GNFC,INE113A01013,Gujarat Narmada Valley Fertilizers and Chemicals Limited,17249403,N.A,
263,GODFRYPHLP,INE260B01028,Godfrey Phillips India Limited,8553865,N.A,
264,GODIGIT,INE03JT01014,Go Digit General Insurance Limited,49907662,N.A,
265,GODREJAGRO,INE850D01014,Godrej Agrovet Limited,12407766,N.A,
266,GODREJCP,INE102D01028,Godrej Consumer Products Limited,96075403,N.A,
267,GODREJIND,INE233A01035,Godrej Industries Limited,17085726,N.A,
268,GODREJPROP,INE484J01027,Godrej Properties Limited,29118753,N.A,
269,GOKEX,INE887G01027,Gokaldas Exports Limited,13308376,N.A,
270,GOKULAGRO,INE314T01033,Gokul Agro Resources Limited,15201794,N.A,
271,GOODLUCK,INE127I01024,Goodluck India Limited,3057931,N.A,
272,GPIL,INE177H01039,Godawari Power And Ispat limited,49221823,N.A,
273,GPPL,INE517F01014,Gujarat Pipavav Port Limited,54140196,N.A,
274,GRANULES,INE101D01020,Granules India Limited,30718679,N.A,
275,GRAPHITE,INE371A01025,Graphite India Limited,13543190,N.A,
276,GRASIM,INE047A01021,Grasim Industries Limited,76116129,N.A,
277,GRAVITA,INE024L01027,Gravita India Limited,6316988,N.A,
278,GREAVESCOT,INE224A01026,Greaves Cotton Limited,20596961,N.A,
279,GRINDWELL,INE536A01023,Grindwell Norton Limited,9293148,N.A,
280,GROWW,INE0HOQ01053,Billionbrains Garage Ventures Limited,900254333,N.A,
281,GRSE,INE382Z01011,Garden Reach Shipbuilders & Engineers Limited,5842152,N.A,
282,GSFC,INE026A01025,Gujarat State Fertilizers & Chemicals Limited,49535525,N.A,
283,GUJENERGY,INE844O01030,GUJARAT ENERGY LIMITED,114570184,N.A,
284,GULFOILLUB,INE635Q01029,Gulf Oil Lubricants India Limited,3259870,N.A,
285,GVT&D,INE200A01026,GE Vernova T&D India Limited,25092560,N.A,
